CMPD_CHEMBLID,exp,smiles
CHEMBL47815,-0.8,[Cl-].C[N+](C)(C)CCS\\C(=N/O)\\C(=O)c1ccc(Cl)cc1
CHEMBL417690,1.3,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL417690,0.94,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL538245,8.4,Cl.CC(C)CNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL296786,-0.42,[Cl-].CC[N+](C)(CC)CCS\\C(=N/O)\\C(=O)c1ccc(Cl)cc1
CHEMBL542372,1.6,Cl.COCCCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL555543,13.7,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1
CHEMBL544731,31.8,Cl.NS(=O)(=O)c1cc2cc(sc2s1)C(=O)NCCN3CCSCC3
CHEMBL37948,1.16,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL37948,0.43,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL542122,14.8,Cl.CC(C=O)N(Cc1cc2cc(sc2s1)S(=O)(=O)N)C(C)C=O
CHEMBL544738,36,Cl.COCCN(CCOC)Cc1cc2sc(cc2s1)S(=O)(=O)N
CHEMBL545431,3.86,Cl.NS(=O)(=O)c1cc2cc(sc2s1)C(=O)NCCN3CCOCC3
CHEMBL905,-0.74,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
CHEMBL53485,-0.64,CN(C)CCc1c[nH]c2ccc(Cn3cnnn3)cc12
CHEMBL544669,2.41,Cl.CCN(CC)CCS\\C(=N/O)\\C(=O)c1ccc(Br)cc1
CHEMBL52944,1.29,NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1
CHEMBL541044,1.7,Cl.CN(C)CCS\\C(=N/O)\\C(=O)c1ccc(Br)cc1
CHEMBL50834,-0.43,CCn1nnnc1Cc2ccc3[nH]cc(CCN(C)C)c3c2
CHEMBL298974,-0.2,CN(C)CCc1c[nH]c2ccc(Cn3nccn3)cc12
CHEMBL553217,0.36,Cl.C[S+]([O-])CCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL553951,2.5,Cl.NS(=O)(=O)c1cc2cc(CNCC3CC3)sc2s1
CHEMBL555889,0.4,Cl.CN(C)CCNC(=O)c1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL555542,0.21,Cl.NS(=O)(=O)c1cc2cc(CNCCCCO)sc2s1
CHEMBL35214,3.04,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL35214,1.02,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL539259,0.84,Cl.CC(C)(C)NCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL543559,13.9,Cl.COCCOCCN(CCOC)Cc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL416644,-1.17,[Cl-].CC[N+](C)(CC)CCS\\C(=N/O)\\C(=O)c1ccc(F)cc1
CHEMBL298544,-0.51,CN(C)CCc1c[nH]c2ccc(Cc3nnn(C)n3)cc12
CHEMBL294600,3.6,COc1ccc(cc1)C2=C(N(C)C(=O)C(=C2)c3nc(C)cs3)c4ccncc4
CHEMBL53964,0.7,C[S+]([O-])CCNC(=O)c1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL555548,9.81,Cl.COCCOCCN(CCOCCOC)Cc1cc2cc(sc2s1)S(=O)(=O)N
